Item Category,Item Name,Item Quality,StatTrak?,Souvenir?,Item Exterior,Lowest Listing Price ($),Steam Market Link
Nomad Knife,Night Stripe,Covert Knife,True,False,Minimal Wear,No Recent Price,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Nomad%20Knife%20%7C%20Night%20Stripe%20%28Minimal%20Wear%29
Nomad Knife,Night Stripe,Covert Knife,True,False,Field-Tested,No Recent Price,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Nomad%20Knife%20%7C%20Night%20Stripe%20%28Field-Tested%29
Nomad Knife,Night Stripe,Covert Knife,True,False,Well-Worn,$181.33,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Nomad%20Knife%20%7C%20Night%20Stripe%20%28Well-Worn%29
Nomad Knife,Night Stripe,Covert Knife,True,False,Battle-Scarred,$149.27,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Nomad%20Knife%20%7C%20Night%20Stripe%20%28Battle-Scarred%29
Nomad Knife,Night Stripe,Covert Knife,False,False,Factory New,No Recent Price,https://steamcommunity.com/market/listings/730/%E2%98%85%20Nomad%20Knife%20%7C%20Night%20Stripe%20%28Factory%20New%29
Nomad Knife,Night Stripe,Covert Knife,False,False,Minimal Wear,$191.55,https://steamcommunity.com/market/listings/730/%E2%98%85%20Nomad%20Knife%20%7C%20Night%20Stripe%20%28Minimal%20Wear%29
Nomad Knife,Night Stripe,Covert Knife,False,False,Field-Tested,$141.46,https://steamcommunity.com/market/listings/730/%E2%98%85%20Nomad%20Knife%20%7C%20Night%20Stripe%20%28Field-Tested%29
Nomad Knife,Night Stripe,Covert Knife,False,False,Well-Worn,$129.61,https://steamcommunity.com/market/listings/730/%E2%98%85%20Nomad%20Knife%20%7C%20Night%20Stripe%20%28Well-Worn%29
Nomad Knife,Night Stripe,Covert Knife,False,False,Battle-Scarred,$134.32,https://steamcommunity.com/market/listings/730/%E2%98%85%20Nomad%20Knife%20%7C%20Night%20Stripe%20%28Battle-Scarred%29
Nomad Knife,Scorched,Covert Knife,True,False,Factory New,No Recent Price,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Nomad%20Knife%20%7C%20Scorched%20%28Factory%20New%29
Nomad Knife,Scorched,Covert Knife,True,False,Minimal Wear,$216.33,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Nomad%20Knife%20%7C%20Scorched%20%28Minimal%20Wear%29
Nomad Knife,Scorched,Covert Knife,True,False,Field-Tested,$133.40,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Nomad%20Knife%20%7C%20Scorched%20%28Field-Tested%29
